camera_name,X,Y,Z,col_sample,row_sample
NVR1_N910A6_ch2_main,-6.815118093,7.007532225601775,-8.123700142,522.0407989728844,586.0908765122306
NVR1_N910A6_ch2_main,-5.98347453,8.115519982645308,-8.066366196,895.8330011328123,186.5816512076073
NVR1_N910A6_ch2_main,-5.429574753,5.914664156443069,-8.059538841,853.6979974483281,1217.5510609695973
NVR1_N910A6_ch2_main,-8.139033614,6.150328120792695,-7.78631258,95.56532598402987,826.2614985062048
NVR1_N910A6_ch2_main,-7.91073792,5.136010250373263,-7.786174774,110.66759605724474,1208.3103797379013
NVR1_N910A6_ch2_main,-6.378077508,3.993052219258888,-8.074741364,507.8274768324803,1760.4853703537497
NVR1_N910A6_ch2_main,-2.555164106,5.195730608765375,-8.071528435,2055.017692184789,1761.7293118780244
NVR1_N910A6_ch2_main,-3.01653347,6.9437418368558665,-8.076449394,1931.831925221752,1049.8369917620041
NVR1_N910A6_ch2_main,-0.093145289,5.882190049156445,-8.095290184,2949.206148387165,1764.7857858963828
NVR1_N910A6_ch2_main,0.6918766578310169,6.183468742,-7.801033497,3237.0706108505574,1731.0579952805342
NVR1_N910A6_ch2_main,0.073758809,7.791019753268426,-7.787930489,3337.0501454543546,1046.251347481196
NVR1_N910A6_ch2_main,-0.274087218,9.725142049394917,-7.783625126,3371.940101466406,339.3103746646862
NVR1_N910A6_ch2_main,0.3690576228545978,7.067421934351118,-7.789055824,3314.497829911721,1393.1945137559785
